extracted_symptom,linked_symptom
HTN (hypertension),Hypertension
Atrial fibrillation,Atrial fibrillation
Diabetes mellitus type 2,Diabetes mellitus
Hypertension,Hypertension
hypoxic,Hypoxic-ischaemic encephalopathy
COVID-19 virus    Stage 3b chronic kidney disease,COVID-19
interstitial lung disease,Interstitial lung disease
Hypothyroidism,Hypothyroidism
No adverse event,No adverse event
dyspnea,Dyspnoea
Bilateral pulmonary embolisms,Pulmonary embolism
Pleural chest pain,Chest pain
vaccination failure,Vaccination failure
ADVERSE EVENT,Adverse event
adverse event,Adverse event
any acute illnesses,Illness
the adverse event,Adverse event
LACTATION DISORDER,Lactation disorder
leakage,Stent-graft endoleak
rheumatoid arthritis,Rheumatoid arthritis
antral ulcer,Ulcer
chronic pain,Pain
fibromyalgia,Fibromyalgia
CVA,Cerebrovascular accident
volume depletion hypertension,Hypertension
weakness,Injection site muscle weakness
acute renal failure,Renal failure
chronic hypoxic respiratory failure,Chronic respiratory failure
COVID-19 infection,COVID-19
anxiety,Anxiety
fatigued,Fatigue
any pneumonia,Pneumonia
severe renal failure,Renal failure
CAD,Wheelchair user
hematemesis,Haematemesis
depression,Depression
No adverse event,No adverse event
urinary retention,Urinary retention
developing pneumonia,Pneumonia
hyperlipidemia,Hyperlipidaemia
new onset cough,Cough
tachycardic,Tachycardia
pneumonia,Pneumonia
a cough,Cough
anemia,Anaemia
type 2 diabetes,Type 2 diabetes mellitus
Parkinson's disease,Parkinson's disease
hypertensive,Hypertensive emergency
leukocytosis,Leukocytosis
hypertension,Hypertension
atelectasis,Atelectasis
the lingering cough,Cough
The coughing,Cough
The cough,Cough
pneumonia,Pneumonia
a lingering cough,Cough
muscle pain,Pain
strep,Pharyngitis streptococcal
pain at the injection site,Injection site pain
Arthralgia,Arthralgia
Fever,Pyrexia
fever,Pyrexia
injection site pain,Injection site pain
redness,Inflammation
chills,Chills
photosensitivity,Photosensitivity reaction
headaches,Headache
Myalgia,Myalgia
symptoms,Lower urinary tract symptoms
itching,Muscle twitching
swelling,Swelling
joint pain,Pain
injection site,Injection site mass
Headache,Headache
vaccination failure,Vaccination failure
Diverticulitis,Diverticulitis
Asthma,Asthma
ARDS,Stress
COVID-19 infection,COVID-19
irritable,Irritable bowel syndrome
foggy,Cytology abnormal
symptoms,Lower urinary tract symptoms
progressive tremor in both hands,Tremor
mild to moderate headache,Headache
fatigue,Fatigue
coughing,Cough
mild nasal congestion,Nasal congestion
herpes,Genital herpes
a mild cough,Cough
"The events ""fatigue",Fatigue
headache,Headache
fatigue,Fatigue
FATIGUE,Fatigue
HEADACHE,Headache
Fatigue,Fatigue
chills,Chills
CHILLS,Chills
Headache,Headache
NAUSEA (slightly nauseous,Nausea
NAUSEA (slightly nauseous) outcome,Nausea
ASTHENIA,Asthenia
No adverse event,No adverse event
double ear infection,Ear infection
headache,Headache
fever,Pyrexia
fatigue,Fatigue
coughing,Cough
a Pulmonary embolism,Pulmonary embolism
sinus infection,Infection
cough,Cough
fever,Pyrexia
tired,Fatigue
a rash on face,Rash
loss of weight,Abnormal loss of weight
vertigo,Vertigo
VERTIGO,Vertigo
the vertigo,Vertigo
sepsis,Sepsis
pulseless electrical activity,Pulseless electrical activity
pneumonia,Pneumonia
COVID,Asymptomatic COVID-19
chest pain,Chest pain
allergies,Allergy test
more fatigue,Fatigue
fatigue,Fatigue
congestion,Ear congestion
more coughing and brain fog,Cough
some fatigue,Fatigue
scratchy throat,Scratch
depression,Depression
TIA,Dementia
COVID-19 positive,COVID-19
autoimmune hepatitis,Autoimmune hepatitis
fatigue,Fatigue
Hypoxia,Hypoxia
anxiety,Anxiety
Parkinson's disease,Parkinson's disease
CAD,Wheelchair user
hypoxia,Hypoxia
septic,Septic encephalopathy
death,Death
Respiratory failure,Respiratory failure
atrial fibrillation,Atrial fibrillation
an abscess,Abscess
gout,Gout
hypertension,Hypertension
No adverse event,No adverse event
Delirium,Delirium
COVID-19 virus,COVID-19
positive COVID-19 PCR,COVID-19
fever,Pyrexia
mild tachycardia of 101,Tachycardia
UTI (urinary tract infection,Urinary tract infection
hemorrhage,Haemorrhage
mild atrophy,Atrophy
Acute cystitis,Cyst
dementia,Dementia
Pneumonia,Pneumonia
fatigue,Fatigue
hypertension,Hypertension
hematuria,Haematuria
atelectasis,Atelectasis
No adverse event,No adverse event
reaction,Adverse drug reaction
swelling at injection site,Injection site swelling
a little bit/ pain,Pain
pain,Pain
VACCINATION SITE INDURATION,Vaccination site induration
VACCINATION SITE SWELLING,Vaccination site swelling
relief,Administration site swelling
injection site,Injection site mass
VACCINATION SITE PAIN,Vaccination site pain
Vaccination site pain,Vaccination site pain
Shingles,Herpes zoster
other known stressors,Stress
Cough,Cough
leg swelling,Swelling
pulmonary embolism,Pulmonary embolism
confused,Clostridium difficile colitis
Lupus fatigue,Fatigue
a different type of fatigue,Fatigue
my chest pains,Pain
the palpitations,Palpitations
The chest pain,Chest pain
No adverse event,No adverse event
numb,Product lot number issue
tingling,Tic
paroxysmal atrial fibrillation,Atrial fibrillation
confusion,Confusional state
COVID-19 infection,COVID-19
CAD,Wheelchair user
fevers,Pyrexia
dementia,Dementia
a fall/syncopal episode,Fall
NAD,Cardiac tamponade
pulmonary edema,Pulmonary oedema
coughing up white phlegm,Cough
Diabetes mellitus,Diabetes mellitus
chills,Chills
Pneumonia,Pneumonia
edema,Oedema
HTN (hypertension),Hypertension
Hypoxia   Anasarca,Hypoxia
Iron deficency anemia,Iron deficiency anaemia
increased leg swelling,Swelling
increased creatinine,Blood creatinine increased
fevers,Pyrexia
COVID-19 pneumonia,COVID-19 pneumonia
Mild fatigue,Fatigue
coughing,Cough
Asthma,Asthma
Congestion,Ear congestion
Mild headache,Headache
Adverse event,Adverse event
Adverse events,Adverse event
advanced osteoarthritis of the right knee,Arthritis
chills,Chills
pain in hip and clavicle,Pain
headache,Headache
sore injection site,Injection
Malaise,Malaise
swollen,Swollen tongue
muscle & joint pain,Pain
muscle and joint pain,Pain
Pain,Pain
extreme muscle and joint pain,Pain
Swelling in throat and tongue,Swelling
swelling of throat and tongue,Swelling
Fever,Pyrexia
Collapse,Circulatory collapse
Cough,Cough
chills,Chills
Excruciating pain,Pain
appetite,Appetite disorder
Extreme muscle and joint pain,Pain
Dizziness,Dizziness
symptoms,Lower urinary tract symptoms
Muscle & joint pain,Pain
headache,Headache
Throat,Dry throat
Chills,Chills
labored,Laboratory test
Partial throat swelling,Swelling
tongue swelling,Swelling
pain,Pain
Pain to the touch,Pain
voice,Breath sounds abnormal
injection site,Injection site mass
cough,Cough
No adverse event,No adverse event
tiredness,Fatigue
headaches,Headache
phlegm,Lethargy
congestion,Ear congestion
sinusitis,Sinusitis
sputum,Sputum culture
stomach pain,Pain
my sinusitis,Sinusitis
my nasal congestion,Nasal congestion
my stomach pain,Pain
dizziness,Dizziness
a headache,Headache
COVID,Asymptomatic COVID-19
COVID,Asymptomatic COVID-19
lethargy,Lethargy
ADVERSE EVENT,Adverse event
adverse event,Adverse event
an awful pain,Pain
swollen,Swollen tongue
extremely painful,Pain
some inflammation on the left side of the lung,Inflammation
palpitations,Palpitations
the inflammation,Inflammation
sore,Abdominal tenderness
No adverse event,No adverse event
headaches,Headache
feverish,Febrile convulsion
No adverse event,No adverse event
acute respiratory failure,Acute respiratory failure
superimposed bacterial pneumonia,Pneumonia
hypoxia,Hypoxia
COVID-19 infection,COVID-19
pneumonia,Pneumonia
hyperglycemia,Hyperglycaemia
COVID-19 virus,COVID-19
n/v,Genital infection viral
fever,Pyrexia
active wheezing,Wheezing
hypothyroidism,Hypothyroidism
platelets,Anti-platelet antibody
PE,Alopecia
persistent cough,Cough
myalgias,Myalgia
diarrhea,Diarrhoea
emesis,Haematemesis
COVID pneumonia,COVID-19 pneumonia
COVID infection,Infection
this headache,Headache
fatigue,Fatigue
sore,Abdominal tenderness
Obesity,Obesity
anxious,Autonomic nervous system imbalance
DM,Diabetes mellitus
OSA,Adiposis dolorosa
symptoms,Lower urinary tract symptoms
CVA,Cerebrovascular accident
Hypoxia Sepsis,Hypoxia
Pneumonia,Pneumonia
No adverse event,No adverse event
severe pain in both shoulders,Pain
This pain,Pain
lightheaded,Pupillary light reflex tests abnormal
vomiting,Vomiting
chest pain,Chest pain
the chest pain,Chest pain
anxiety,Anxiety
some heart palpitations,Palpitations
symptoms,Lower urinary tract symptoms
some chest pain,Chest pain
depression,Depression
drug overdose,Overdose
insomnia,Insomnia
suicidal ideations,Suicidal ideation
anxiety,Anxiety
sinus tachy,Sinus tachycardia
COVID,Asymptomatic COVID-19
suicidal ideation,Suicidal ideation
Vaccination failure,Vaccination failure
vaccination failure,Vaccination failure
COVID,Asymptomatic COVID-19
Shingles,Herpes zoster
muscle pain in arms,Pain
Fever,Pyrexia
rhabdomyolysis,Rhabdomyolysis
refractory shock,Shock
opportunistic infections,Infection
AIDS,Acquired immunodeficiency syndrome
adverse event,Adverse event
orthostatic hypotension,Orthostatic hypotension
numbness,Apathy
the expressive aphasia,Aphasia
gran mal seizure,Seizure
seizures,Seizure
an overdose,Overdose
allergies,Allergy test
feeling abnormal,Feeling abnormal
red,Extra dose administered
ill-defined disorder,Ill-defined disorder
vaccination site erythema,Vaccination site erythema
swollen,Swollen tongue
the vaccination site erythema,Vaccination site erythema
worsening palpitations,Palpitations
his COVID infection,Infection
mild respiratory depression,Respiratory depression
chest pain,Chest pain
respiratory symptoms,Respiratory symptom
diaphoresis,Hyperhidrosis
atrial fibrillation,Atrial fibrillation
diarrhea,Diarrhoea
back pain,Back pain
pain in kidney,Pain
pains,Pain
headache,Headache
fever,Pyrexia
COVID infection,Infection
chest pain exposure,Chest pain
chest pain,Chest pain
cough,Cough
No adverse event,No adverse event
lifetime deafness,Deafness
vomiting,Vomiting
increasing cough,Cough
CVA,Cerebrovascular accident
lactic slightly elevated,Tic
deafness,Deafness
chest pain,Chest pain
fever,Pyrexia
HTN,Muscle tightness
chills,Chills
dehydration,Dehydration
nausea,Nausea
endocarditis,Endocarditis
cough,Cough
headache,Headache
headaches,Headache
fatigue,Fatigue
elevated,Atelectasis
congestion,Ear congestion
pains,Pain
symptoms,Lower urinary tract symptoms
fatigues,Fatigue
No adverse event,No adverse event
Severe dysuria,Dysuria
very fatigued,Fatigue
light headache,Headache
No adverse event,No adverse event
chonic cough,Cough
pneumonia,Pneumonia
SEPSIS,Sepsis
painful,Pain
headache,Headache
nausea,Nausea
radiating pain,Pain
Diarrhea,Diarrhoea
pains,Pain
injection site,Injection site mass
Fever,Pyrexia
disorientation,Disorientation
inability to control my body temperature,Body temperature
dizziness,Dizziness
cardiac arrest,Cardiac arrest
asthma,Asthma
hypoxia,Hypoxia
CAD,Wheelchair user
b anoxic brain injury,Brain injury
chronic respiratory failure,Chronic respiratory failure
hyperlipidemia,Hyperlipidaemia
pelvic fracture,Pelvic fracture
some ongoing pain,Pain
vomiting,Vomiting
macrocytic anemia,Anaemia macrocytic
anemia,Anaemia
back/pelvic pain,Pelvic pain
Diarrhea,Diarrhoea
Cough,Cough
DES,Blood triglycerides
anemia of chronic kidney disease,Chronic kidney disease
CAD,Wheelchair user
AKI,Pollakiuria
depression,Depression
hepatic steatosis,Hepatic steatosis
hypertension,Hypertension
nausea,Nausea
COVID pneumonia,COVID-19 pneumonia
cough,Cough
chronic urticaria,Urticaria chronic
relief,Administration site swelling
headache,Headache
fever,Pyrexia
fatigue,Fatigue
pain,Pain
congestion,Ear congestion
symptoms,Lower urinary tract symptoms
cough,Cough
vomiting,Vomiting
COVID,Asymptomatic COVID-19
CVA,Cerebrovascular accident
stroke,Cerebellar stroke
a nonproductive cough,Cough
acute renal failure,Renal failure
COVID-19 infection,COVID-19
Urinary retention,Urinary retention
severe dehydration,Dehydration
acute kidney injury,Acute kidney injury
occasional vomiting,Vomiting
dysphagia,Dysphagia
left-sided hemiplegia,Hemiplegia
Feverish,Febrile convulsion
hypoxic,Hypoxic-ischaemic encephalopathy
nausea,Nausea
Hemorrhagic cerebrovascular accident,Accident
aspiration pneumonia,Pneumonia aspiration
ear ringing (tinnitus) in left ear,Tinnitus
abdominal pain,Abdominal pain
MI,Abdominal X-ray
hypertension,Hypertension
nausea,Nausea
diarrhea,Diarrhoea
hyperlipidemia,Hyperlipidaemia
Atrial fibrillation,Atrial fibrillation
CAD,Wheelchair user
acute gout flare,Gout
fevers,Pyrexia
vomiting,Vomiting
diabetes,Diabetes mellitus
chest pain,Chest pain
cough,Cough
HERNIA,Hernia
Chest pain,Chest pain
abdominal pain,Abdominal pain
headaches,Headache
nausea,Nausea
joint pain,Pain
Tachycardia,Tachycardia
shaking,Palpitations
vaccination failure,Vaccination failure
"Meniere's disease""",Meniere's disease
pain,Pain
tender,Abdominal tenderness
significant nerve pain,Pain
painful,Pain
dizziness,Dizziness
fussiness,Irritability
severe pain,Pain
Bruising at Injection Site,Injection site bruising
Pain at Injection Site,Injection site pain
Dizziness,Dizziness
Lethargy-Severe,Lethargy
Weakness,Injection site muscle weakness
Hypotension,Hypotension
Unresponsive,Unresponsive to stimuli
Swelling at Injection,Injection
Vomiting,Vomiting
Confusion,Confusional state
Joint Pain-Severe,Pain
HEADACHE,Headache
Headache,Headache
the headache,Headache
these sharp pains,Pain
headaches,Headache
DYSMENORRHOEA,Dysmenorrhoea
heavy menstrual bleeding,Heavy menstrual bleeding
menstruation irregular,Menstruation irregular
dysmenorrhea,Dysmenorrhoea
THROMBOSIS,Thrombosis
thrombosis,Thrombosis
MENSTRUATION IRREGULAR (non-serious),Menstruation irregular
HEAVY MENSTRUAL BLEEDING,Heavy menstrual bleeding
fever,Pyrexia
a cough,Cough
a lingering cough,Cough
severe headache,Headache
cough,Cough
No adverse event,No adverse event
DYSGEUSIA,Dysgeusia
Asthma,Asthma
temperature excursion,Product temperature excursion issue
VACCINATION SITE SWELLING,Vaccination site swelling
arm swelling,Ear swelling
arm pain,Pain
Swelling,Swelling
fluid-filled blister at injection site,Blister
discomfort,Discomfort
No adverse event,No adverse event
breathing,Bed rest
fever,Pyrexia
nausea,Nausea
pain,Pain
difficulty controlling heart rate,Heart rate
fever,Pyrexia
elevated,Atelectasis
Superimposed Bacterial Infection,Bacterial infection
hypoxia,Hypoxia
dilated cardiomyopathy,Cardiomyopathy
COVID-19 infection,COVID-19
dementia,Dementia
Atrial fibrillation,Atrial fibrillation
CAD,Wheelchair user
COVID-19 PNA,COVID-19
Chronic Atrial Fibrillation,Atrial fibrillation
hypoxic,Hypoxic-ischaemic encephalopathy
bradycardia,Bradycardia
acute hypoxic respiratory failure,Acute respiratory failure
hearing loss,Sudden hearing loss
COVID,Asymptomatic COVID-19
anemia,Anaemia
agitation,Agitation
anxiety,Anxiety
dementia,Dementia
hypertension,Hypertension
COVID pneumonia,COVID-19 pneumonia
suicidal ideation,Suicidal ideation
chest pains,Chest pain
tired,Fatigue
anxious,Autonomic nervous system imbalance
EDEMA,Oedema
ASCITES,Ascites
HTN,Muscle tightness
hypothyroidism,Hypothyroidism
respiratory failure,Respiratory failure
death,Death
dementia,Dementia
alcohol use disorder,Alcohol use
chest pain,Chest pain
No adverse event,No adverse event
No adverse event,No adverse event
bronchitis,Bronchitis
constipation,Constipation
vomiting,Vomiting
respiratory symptoms,Respiratory symptom
HTN,Muscle tightness
chills,Chills
some nasal drainage,Drainage
abdominal pain,Abdominal pain
"""lung infection",Infection
nausea,Nausea
diarrhea,Diarrhoea
sweats,Night sweats
fevers,Pyrexia
recurrent hypoxia,Hypoxia
asymptomatic covid pneumonia,Pneumonia
fever,Pyrexia
fatigue,Fatigue
a  rash,Rash
COVID-19 infection,COVID-19
generalized abdominal pain,Abdominal pain
thrombocytopenia,Thrombocytopenia
chest pain,Chest pain
cough,Cough
PRODUCT TEMPERATURE EXCURSION ISSUE,Product temperature excursion issue
vertigo,Vertigo
symptoms,Lower urinary tract symptoms
dizziness,Dizziness
incredible fatigue,Fatigue
cough,Cough
Plaque psoriasis,Psoriasis
stressing events,Stress
Psoriatic arthritis,Arthritis
flare,Oral mucosal eruption
STRESS (Stress),Cardiac stress test
STRESS (Stress) outcome,Stress
Pancreatic cancer,Tic
adverse events,Adverse event
an adverse event,Adverse event
sweating,Hyperhidrosis
HYPERHIDROSIS,Hyperhidrosis
BODY TEMPERATURE CHANGE,Body temperature
chills,Chills
cold,Cold sweat
CHILLS,Chills
hot,Feeling hot
menstrual disorder,Menstrual disorder
Idiopathic Thrombocytopenia Purpura,Purpura
MENSTRUAL DISORDER,Menstrual disorder
bleeding,Bleeding anovulatory
Idiopathic,Idiopathic intracranial hypertension
left sided hemiparesis,Hemiparesis
dysphagia,Dysphagia
dysarthria,Dysarthria
mixed dementia,Dementia
Parkinson Disease,Parkinson's disease
CVA,Cerebrovascular accident
Extensive local reaction at vaccine site,Local reaction
fever,Pyrexia
chills,Chills
cough,Cough
chills,Chills
malaise,Malaise
fever,Pyrexia
lows in blood pressure  Palpitations,Palpitations
